results:T_avg,results:q_left
-17.603233620557,-53.742329214072
-16.924801372873,-49.696450737877
-20.47179817769,-60.159654045693
-27.013903943926,-78.542578504529
-18.718157613216,-55.775839906623
-40.93865615389,-120.68093900364
-21.156094285642,-59.900406878897
-18.560433005254,-54.509515812134
-16.700478640994,-50.677841812901
-35.663029807323,-106.76977619967
-20.711622309536,-61.012959106709
-29.00702874857,-87.037066331453
-22.940537397441,-65.053151190358
-17.691214926075,-53.493284201577
-14.650298668696,-45.277095963945
-15.797126427956,-46.191538212445
-18.222440290966,-53.944964633142
-27.929015127893,-82.930349700429
-16.600003374789,-50.057169168991
-17.280536310452,-49.825207205691
-16.272086713744,-48.743405111708
-9.3541574702887,-22.485172762952
-25.083824281886,-72.90335091562
-52.567139931026,-157.71080507059
-49.955632720658,-144.86033593199
-15.844926860281,-48.56457375056
-25.973032800201,-76.313693263299
-33.325564335336,-97.495952848334
-50.489838177706,-150.68952040444
-18.931953666122,-54.454152265244
-13.798630214644,-40.58927010095
-14.270569671461,-43.075330329055
-25.051609615729,-74.026300026015
-19.785967474652,-56.972894027335
-15.091841949511,-44.389962359455
-27.70750876649,-80.983070407979
-21.58091058119,-65.031083468762
-21.819107432651,-63.520102467349
-32.220490940666,-93.625625305555
-33.621658110006,-98.395895731561
-14.802338262952,-43.265106951052
-47.515480187852,-140.55069391615
-20.354578143427,-59.672982830825
-29.026586387342,-85.145658991607
-35.013155460998,-103.79046473355
-29.456624197786,-85.991834884432
-20.36812006106,-59.799266889864
-23.020248886373,-66.763754331984
-21.58991084977,-62.410001118416
-30.514862385766,-88.573202141187
-41.544203086841,-124.91645416022
-21.614760235323,-64.242381934646
-39.631427828067,-115.22350372144
-37.938497325018,-113.62006221778
-34.621822842295,-102.53520565751
-21.585964448373,-64.217247128118
-25.149828168535,-75.370111604293
-15.522481080248,-46.771149312654
-20.144537355696,-57.746928985301
-26.291304313346,-77.743716306817
-27.719537966962,-81.833972974866
-15.806804867128,-46.170092771444
-22.576685623105,-67.118518549135
-9.4469962937252,-27.168534695089
-21.719585524003,-63.924129978919
-15.828932789442,-46.386392466673
-17.055946710037,-50.061051509384
-36.376541671124,-106.91773106221
-11.113812235662,-33.757709685199
-11.915297020377,-37.434835509227
-31.127584229699,-94.621163219478
-15.144053673692,-45.369395247992
-22.396777969915,-65.953757066151
-44.698123241734,-130.98364189954
-15.228378521914,-44.786626695519
-34.631478670055,-101.78211645187
-10.671419126717,-32.311356285342
-24.224798927944,-70.296692464669
-48.73495731945,-145.67794913222
-14.389533841917,-44.437452380805
-14.743584046772,-44.757207121877
-32.105970862619,-95.797512438417
-18.66683418539,-55.297603588176
-20.516073512356,-59.813600178216
-7.0955874314573,-20.764043334225
-14.065498928477,-42.328857063096
-27.431465847169,-80.256116118105
-37.233313477028,-109.60761618116
-21.010121445532,-61.571594151518
-28.134964376905,-82.146179897108
-23.888167620782,-68.628713159463
-22.522646490363,-66.423909551496
-15.328751096873,-44.839151975842
-15.765454178706,-46.516262390787
-13.563186300136,-40.594988783523
-11.235512912728,-34.137955659463
